token_text	predicates	gold predicates	arguments	gold arguments
[	_	_	_	_
This	_	_	_	_
killing	_	PRED	ARG	_
of	_	_	_	_
a	_	_	_	_
respected	_	_	_	_
cleric	_	_	_	ARG
will	_	_	_	_
be	PRED	PRED	_	_
causing	_	PRED	_	_
us	_	_	ARG	_
trouble	_	_	ARG	_
for	_	_	_	_
years	_	_	_	_
to	_	_	_	_
come	PRED	PRED	_	_
.	_	_	_	_
]	_	_	_	_
DPA	_	_	_	_
:	_	_	_	_
Iraqi	_	_	_	_
authorities	_	_	ARG	ARG
announced	PRED	PRED	_	_
that	_	_	_	_
they	_	_	ARG	_
had	PRED	PRED	_	_
busted	PRED	PRED	_	ARG
up	_	_	_	_
3	_	_	_	_
terrorist	_	_	_	_
cells	_	_	ARG	_
operating	_	PRED	_	_
in	_	_	_	_
Baghdad	_	_	_	_
.	_	_	_	_
Two	_	_	ARG	_
of	_	_	_	_
them	_	_	_	_
were	PRED	PRED	_	_
being	_	PRED	_	_
run	PRED	PRED	_	_
by	_	_	_	_
2	_	_	_	_
officials	_	_	ARG	_
of	_	_	_	_
the	_	_	_	_
Ministry	_	_	_	_
of	_	_	_	_
the	_	_	_	_
Interior	_	_	_	_
!	_	_	_	_
The	_	_	_	_
MoI	_	_	ARG	ARG
in	_	_	_	_
Iraq	_	_	_	_
is	PRED	PRED	_	_
equivalent	_	PRED	_	ARG
to	_	_	_	_
the	_	_	_	_
US	_	_	_	_
FBI	_	_	ARG	_
,	_	_	_	_
so	_	_	_	_
this	_	_	ARG	_
would	_	_	_	_
be	PRED	PRED	_	_
like	_	_	_	_
having	_	PRED	_	_
J.	_	_	_	_
Edgar	_	_	_	_
Hoover	_	_	ARG	_
unwittingly	_	_	_	_
employ	PRED	PRED	_	_
at	_	_	_	_
a	_	_	_	_
high	_	_	_	_
level	_	_	_	_
members	_	_	_	_
of	_	_	_	_
the	_	_	_	_
Weathermen	_	_	_	_
bombers	_	_	_	_
back	_	_	_	_
in	_	_	_	_
the	_	_	_	_
1960s	_	_	_	_
.	_	_	_	_
The	_	_	_	_
third	_	_	ARG	_
was	PRED	PRED	_	_
being	_	PRED	_	_
run	PRED	PRED	_	_
by	_	_	_	_
the	_	_	_	_
head	_	_	ARG	_
of	_	_	_	_
an	_	_	_	_
investment	_	_	_	_
firm	_	_	_	_
.	_	_	_	_
You	_	_	ARG	ARG
wonder	PRED	PRED	_	_
if	_	_	_	_
he	_	_	ARG	_
was	PRED	PRED	_	_
manipulating	_	PRED	_	ARG
the	_	_	_	_
market	_	_	ARG	_
with	_	_	_	_
his	_	_	_	_
bombing	_	_	_	_
targets	_	_	_	_
.	_	_	_	_
The	_	_	_	_
cells	_	_	ARG	_
were	PRED	PRED	_	_
operating	_	PRED	_	_
in	_	_	_	_
the	_	_	_	_
Ghazaliyah	_	_	_	_
