token_text	predicates	gold predicates
Al	_	_
-	_	_
Zaman	_	_
:	_	_
American	_	_
forces	_	_
killed	PRED	PRED
Shaikh	_	_
Abdullah	_	_
al	_	_
-	_	_
Ani	_	_
,	_	_
the	_	_
preacher	_	_
at	_	_
the	_	_
mosque	_	_
in	_	_
the	_	_
town	_	_
of	_	_
Qaim	_	_
,	_	_
near	_	_
the	_	_
Syrian	_	_
border	_	_
.	_	_
[	_	_
This	_	_
killing	_	PRED
of	_	_
a	_	_
respected	_	_
cleric	_	_
will	_	_
be	PRED	PRED
causing	_	PRED
us	_	_
trouble	_	_
for	_	_
years	_	_
to	_	_
come	PRED	PRED
.	_	_
]	_	_
DPA	_	_
:	_	_
Iraqi	_	_
authorities	_	_
announced	PRED	PRED
that	_	_
they	_	_
had	PRED	PRED
busted	PRED	PRED
up	_	_
3	_	_
terrorist	_	_
cells	_	_
operating	_	PRED
in	_	_
Baghdad	_	_
.	_	_
Two	_	_
of	_	_
them	_	_
were	PRED	PRED
being	_	PRED
run	PRED	PRED
by	_	_
2	_	_
officials	_	_
of	_	_
the	_	_
Ministry	_	_
of	_	_
the	_	_
Interior	_	_
!	_	_
The	_	_
MoI	_	_
in	_	_
Iraq	_	_
is	PRED	PRED
equivalent	_	PRED
to	_	_
the	_	_
US	_	_
FBI	_	_
,	_	_
so	_	_
this	_	_
would	_	_
be	PRED	PRED
like	_	_
having	_	PRED
J.	_	_
Edgar	_	_
Hoover	_	_
unwittingly	_	_
employ	PRED	PRED
at	_	_
a	_	_
high	_	_
level	_	_
members	_	_
of	_	_
the	_	_
Weathermen	_	_
bombers	_	_
back	_	_
in	_	_
the	_	_
1960s	_	_
.	_	_
The	_	_
third	_	_
was	PRED	PRED
being	_	PRED
run	PRED	PRED
by	_	_
the	_	_
head	_	_
of	_	_
an	_	_
investment	_	_
firm	_	_
.	_	_
You	_	_
wonder	PRED	PRED
if	_	_
he	_	_
was	PRED	PRED
manipulating	_	PRED
the	_	_
market	_	_
with	_	_
his	_	_
bombing	_	_
targets	_	_
.	_	_
The	_	_
cells	_	_
were	PRED	PRED
operating	_	PRED
in	_	_
the	_	_
Ghazaliyah	_	_
and	_	_
al	_	_
-	_	_
Jihad	_	_
districts	_	_
of	_	_
the	_	_
capital	_	_
.	_	_
Although	_	_
the	_	_
announcement	_	PRED
was	PRED	PRED
probably	_	_
made	PRED	PRED
to	_	_
show	PRED	PRED
progress	_	PRED
in	_	_
identifying	_	PRED
